,FP,TC,Importe,IVA,RET ISR,RET IVA,Otros
161,99.0,1.0,2250.0,360.0,0.0,0.0,
162,99.0,1.0,1521.5,176.8,0.0,0.0,
163,99.0,1.0,343.97,55.03,0.0,0.0,
164,4.0,1.0,306.5,49.04,0.0,0.0,
165,99.0,1.0,2882.65,461.22,0.0,0.0,
166,99.0,1.0,6720.0,1075.2,0.0,0.0,
167,99.0,1.0,7800.0,176.8,0.0,0.0,
168,3.0,1.0,4500.0,720.0,0.0,0.0,
169,3.0,1.0,2166.87,346.69,0.0,0.0,
170,1.0,1.0,626.9,100.31,0.0,0.0,
171,99.0,1.0,1009.01,161.44,0.0,0.0,
172,99.0,1.0,185.45,29.67,0.0,0.0,
173,1.0,1.0,413.79,66.21,0.0,0.0,
174,1.0,1.0,91.38,14.62,0.0,0.0,
175,3.0,1.0,1521.5,176.8,0.0,0.0,
176,99.0,1.0,575.0,92.0,0.0,0.0,
177,44.0,1.0,0.0,0.0,0.0,0.0,
178,99.0,1.0,1506.88,241.1,0.0,0.0,
179,3.0,1.0,4669.56,747.13,0.0,0.0,
180,3.0,1.0,1278.7,204.59,0.0,0.0,
181,3.0,1.0,1521.5,176.8,0.0,0.0,
182,99.0,1.0,166.48,26.63,0.0,0.0,
183,44.0,1.0,0.0,0.0,0.0,0.0,
184,99.0,1.0,5850.0,936.0,0.0,0.0,
185,99.0,1.0,301.0,48.16,0.0,0.0,
186,3.0,1.0,6419.38,0.0,0.0,0.0,
187,99.0,1.0,5500.0,880.0,0.0,0.0,
188,99.0,1.0,330.0,52.8,0.0,0.0,
189,44.0,1.0,0.0,0.0,0.0,0.0,
190,44.0,1.0,0.0,0.0,0.0,0.0,
191,44.0,1.0,0.0,0.0,0.0,0.0,
192,4.0,1.0,4362.219999999999,216.96,0.0,0.0,
193,99.0,1.0,2173.72,347.86,0.0,0.0,
194,44.0,1.0,0.0,0.0,0.0,0.0,
195,99.0,1.0,1600.0,256.0,0.0,0.0,
196,99.0,1.0,2223.0,355.68,0.0,0.0,
197,31.0,1.0,126.34,20.21,0.0,0.0,
198,99.0,1.0,8400.0,176.8,0.0,0.0,
199,99.0,1.0,-944.0,-151.04,0.0,0.0,
200,99.0,1.0,-944.0,-151.04,0.0,0.0,
201,44.0,1.0,0.0,0.0,0.0,0.0,
202,99.0,1.0,2003.0,320.48,0.0,0.0,
203,3.0,1.0,120.0,19.2,0.0,0.0,
204,99.0,1.0,3344.0,535.04,0.0,0.0,
205,44.0,1.0,0.0,0.0,0.0,0.0,
206,44.0,1.0,0.0,0.0,0.0,0.0,
207,3.0,1.0,1521.5,176.8,0.0,0.0,
208,1.0,1.0,189.66,30.34,0.0,0.0,
209,3.0,1.0,10.0,1.6,0.0,0.0,
210,1.0,1.0,241.5,38.64,0.0,0.0,
211,3.0,1.0,0.0,0.0,0.0,0.0,
212,3.0,1.0,1521.5,742.09,0.0,0.0,
213,99.0,1.0,288.61,46.18,0.0,0.0,
214,5.0,1.0,1521.5,0.0,0.0,0.0,
215,3.0,1.0,700.0,112.0,0.0,0.0,
216,44.0,1.0,0.0,0.0,0.0,0.0,
217,3.0,1.0,1521.5,0.0,0.0,0.0,
218,99.0,1.0,5551.38,888.22,0.0,0.0,
219,99.0,1.0,5551.98,888.32,0.0,0.0,
220,99.0,1.0,8454.37,176.8,0.0,0.0,
221,3.0,1.0,505.0,80.8,0.0,0.0,
222,3.0,1.0,0.0,0.0,0.0,0.0,
223,44.0,1.0,0.0,0.0,0.0,0.0,
224,99.0,1.0,744.56,119.13,0.0,0.0,
225,1.0,1.0,82.5,13.2,0.0,0.0,
